AARTI	Hindu ceremony [n]
BALTIS	BALTI, spicy Indian dish served in a metal dish [n]
BANDAR	Indian English word for a male monkey [n]
BANDARI	Indian English word for a female monkey [n]
BANDARIS	BANDARI, Indian English word for a female monkey [n]
BANDARIYA	bandari (Indian English word for a female monkey)
BANDARS	BANDAR, Indian English word for a male monkey [n]
BANDH	(in India) a general strike [n]
BANDHS	BANDH, (in India) a general strike [n]
BANDOBAST	bandobust ((in India and Pakistan) an arrangement)
BANDOBUST	(in India and Pakistan) an arrangement [n]
BANDOBUSTS	BANDOBUST, (in India and Pakistan) an arrangement [n]
BANIA	banyan (Indian tree)
BANIAN	banyan (Indian tree)
BANYAN	Indian tree [n]
BANYANS	BANYAN, Indian tree [n]
BARFI	type of Indian dessert [n]
BARFIS	BARFI, type of Indian dessert [n]
BASANT	Pakistani spring festival [n]
BASANTS	BASANT, Pakistani spring festival [n]
BASTI	(in India) a slum inhabited by poor people [n]
BASTIS	BASTI, (in India) a slum inhabited by poor people [n]
BAYADEER	bayadere (female dancer, esp one serving in a Hindu temple)
BAYADERE	female dancer, esp one serving in a Hindu temple [n] / (of fabric, etc) having horizontal stripes [adj]
BAYADERES	BAYADERE, female dancer, esp one serving in a Hindu temple [n]
BEEDI	Indian cigarette [n]
BEEDIE	beedi (Indian cigarette)
BEEGAH	bigha (in India, unit for measuring land)
BENJ	BHANG, preparation of Indian hemp [n]
BHAGEE	bhaji (Indian deep-fried savoury of chopped vegetables in spiced batter)
BHAI	Indian form of address for a man [n]
BHAIS	BHAI, Indian form of address for a man [n]
BHAJEE	bhaji (Indian deep-fried savoury of chopped vegetables in spiced batter)
BHAJI	Indian deep-fried savoury of chopped vegetables in spiced batter [n]
BHAJIA	BHAJI, Indian deep-fried savoury of chopped vegetables in spiced batter [n]
BHAJIS	BHAJI, Indian deep-fried savoury of chopped vegetables in spiced batter [n]
BHAKTA	Hindu term for a devotee of God [n]
BHAKTAS	BHAKTA, Hindu term for a devotee of God [n]
BHANG	preparation of Indian hemp [n]
BHANGRA	Punjabi folk music combined with elements of Western pop music [n]
BHANGRAS	BHANGRA, Punjabi folk music combined with elements of Western pop music [n]
BHANGS	BHANG, preparation of Indian hemp [n]
BHARAL	wild Himalayan sheep [n]
BHARALS	BHARAL, wild Himalayan sheep [n]
BHAVAN	(in India) a large house or building [n]
BHAVANS	BHAVAN, (in India) a large house or building [n]
BHAWAN	bhavan ((in India) a large house or building)
BHEESTIE	bhishti ((formerly in India) a water-carrier)
BHEESTY	bhishti ((formerly in India) a water-carrier)
BHEL	bael (type of spiny Indian tree)
BHELPURI	Indian dish of puffed rice and vegetables [n]
BHELPURIS	BHELPURI, Indian dish of puffed rice and vegetables [n]
BHISHTI	(formerly in India) a water-carrier [n]
BHISHTIS	BHISHTI, (formerly in India) a water-carrier [n]
BHISTEE	bhishti ((formerly in India) a water-carrier)
BHISTI	bhishti ((formerly in India) a water-carrier)
BHISTIE	bhishti ((formerly in India) a water-carrier)
BHOONA	bhuna (Indian sauce)
BHOOT	bhut (Hindu term for a type of ghost)
BHUNA	Indian sauce [n]
BHUNAS	BHUNA, Indian sauce [n]
BHUT	Hindu term for a type of ghost [n]
BHUTS	BHUT, Hindu term for a type of ghost [n]
BIDI	beedi (Indian cigarette)
BIGHA	in India, unit for measuring land [n]
BIGHAS	BIGHA, in India, unit for measuring land [n]
BINDAAS	Indian English word for a carefree and daring person [n]
BINDAASES	BINDAAS, Indian English word for a carefree and daring person [n]
BINDASS	bindaas (Indian English word for a carefree and daring person)
BINDHI	bindi (decorative dot worn in the middle of the forehead, esp by Hindu women)
BINDI	decorative dot worn in the middle of the forehead, esp by Hindu women [n]
BINDIS	BINDI, decorative dot worn in the middle of the forehead, esp by Hindu women [n]
BIRIANI	biryani (Indian rice-based dish)
BIRYANI	Indian rice-based dish [n]
BIRYANIS	BIRYANI, Indian rice-based dish [n]
BLACKBUCK	Indian antelope, the male of which has spiral horns, a dark back, and a white belly [n]
BLACKBUCKS	BLACKBUCK, Indian antelope, the male of which has spiral horns, a dark back, and a white belly [n]
BOLA	missile used by gauchos and Indians of South America [n]
BOLAS	bola (missile used by gauchos and Indians of South America)
BOXWALLAH	derogatory Indian term for a salesperson [n]
BOXWALLAHS	BOXWALLAH, derogatory Indian term for a salesperson [n]
BRAHMAN	member of the highest Hindu caste [n]
BRAHMANI	woman of the highest Hindu caste [n]
BRAHMANIS	BRAHMANI, woman of the highest Hindu caste [n]
BRAHMANISM	system of orthodox Hinduism [n]
BRAHMANISMS	BRAHMANISM, system of orthodox Hinduism [n]
BRAHMANIST	BRAHMANISM, system of orthodox Hinduism [n]
BRAHMANISTS	BRAHMANISM, system of orthodox Hinduism [n]
BRAHMANS	BRAHMAN, member of the highest Hindu caste [n]
BRAHMAS	BRAHMA, breed of domestic fowl [n]
BRAHMIN	brahman (member of the highest Hindu caste)
BRAHMINISM	brahmanism (system of orthodox Hinduism)
BRAHMINS	BRAHMIN [n]
BUDA	sometimes derogatory Indian English word for an old man (not_family) [n]
BUDAS	BUDA, sometimes derogatory Indian English word for an old man (not_family) (not_family) [n]
BUDGERO	budgerow (barge used on the Ganges)
BUDGEROW	barge used on the Ganges [n]
BUDGEROWS	BUDGEROW, barge used on the Ganges [n]
BUDI	sometimes derogatory Indian English word an for old woman (not_family) [n]
BUDIS	BUDI, sometimes derogatory Indian English word an for old woman (not_family) (not_family) [n]
BUFFEL	grass used for pasture in Africa, India, and Australia [adj]
BUMALO	bummalo (Bombay duck)
BUMMALO	Bombay duck [n]
BUMMALOS	BUMMALO, Bombay duck [n]
BUMMALOTI	BUMMALO, Bombay duck [n]
BUNDH	bandh ((in India) a general strike)
BUNDOBUST	bandobust ((in India and Pakistan) an arrangement)
BUNIA	bunnia (Hindu shopkeeper)
BUNNIA	Hindu shopkeeper [n]
BUNNIAS	BUNNIA, Hindu shopkeeper [n]
BURFI	barfi (type of Indian dessert)
BURHEL	bharal (wild Himalayan sheep)
BURREL	bharal (wild Himalayan sheep)
BURRELL	BHARAL, wild Himalayan sheep [n]
BURRHEL	bharal (wild Himalayan sheep)
BUSTEE	basti ((in India) a slum inhabited by poor people)
BUSTI	basti ((in India) a slum inhabited by poor people)
CACHUMBER	Indian side salad [n]
CACHUMBERS	CACHUMBER, Indian side salad [n]
CALPA	Hindu unit of time [n]
CALPAS	CALPA, Hindu unit of time [n]
CANDIE	South Indian unit of weight [n]
CANNABIN	greenish-black poisonous resin obtained from the Indian hemp plant [n]
CANNABINS	CANNABIN, greenish-black poisonous resin obtained from the Indian hemp plant [n]
CASTE	any of the hereditary classes into which Hindu society is divided [n]
CASTES	CASTE, any of the hereditary classes into which Hindu society is divided [n]
CHAI	tea, esp as made in India with added spices [n]
CHAIS	CHAI, tea, esp as made in India with added spices [n]
CHALAN	(in India) to cause an accused person to appear before a magistrate [v] / invoice, pass, or voucher [n]
CHALANED	CHALAN, (in India) to cause an accused person to appear before a magistrate [v]
CHALANING	CHALAN, (in India) to cause an accused person to appear before a magistrate [v]
CHALANS	CHALAN, (in India) to cause an accused person to appear before a magistrate [v]
CHALLAN	chalan ((in India) to cause an accused person to appear before a magistrate)
CHANA	(in Indian cookery) chickpeas [n]
CHANAS	CHANA, (in Indian cookery) chickpeas [n]
CHANGA	in Indian English, an expression of approval or agreement [interj]
CHANNA	chana ((in Indian cookery) chickpeas)
CHAPATI	(in Indian cookery) flat thin unleavened bread [n]
CHAPATIES	CHAPATI, (in Indian cookery) flat thin unleavened bread [n]
CHAPATIS	CHAPATI, (in Indian cookery) flat thin unleavened bread [n]
CHAPATTI	chapati ((in Indian cookery) flat thin unleavened bread)
CHAPATTIES	CHAPATI, (in Indian cookery) flat thin unleavened bread [n]
CHAPPAL	one of a pair of sandals, usually of leather, worn in India [n]
CHAPPALS	CHAPPAL, one of a pair of sandals, usually of leather, worn in India [n]
CHAPPATI	chapati ((in Indian cookery) flat thin unleavened bread)
CHAPRASI	Indian English word for an office messenger or doorman [n]
CHAPRASIS	CHAPRASI, Indian English word for an office messenger or doorman [n]
CHAPRASSI	chaprasi (Indian English word for an office messenger or doorman)
CHARKA	charkha ((in India) a spinning wheel, esp for cotton)
CHARKHA	(in India) a spinning wheel, esp for cotton [n]
CHARKHAS	CHARKHA, (in India) a spinning wheel, esp for cotton [n]
CHATTEE	chatti ((in India) earthenware pot)
CHATTI	(in India) earthenware pot [n]
CHATTIS	CHATTI, (in India) earthenware pot [n]
CHATTY	(of a person) fond of friendly, informal conversation [adj] / (in India) earthenware pot [n]
CHIKARA	Indian seven-stringed musical instrument [n]
CHIKARAS	CHIKARA, Indian seven-stringed musical instrument [n]
CHIKHOR	chukar (common Indian partridge)
CHIKOR	chukar (common Indian partridge)
CHINKARA	Indian gazelle [n]
CHINKARAS	CHINKARA, Indian gazelle [n]
CHITTAGONG	an Indian variety of domestic fowl [n]
CHITTAGONGS	CHITTAGONG, an Indian variety of domestic fowl [n]
CHOBDAR	in India and Nepal, king's macebearer or attendant [n]
CHOBDARS	CHOBDAR, in India and Nepal, king's macebearer or attendant [n]
CHOKIDAR	in India, a gatekeeper [n]
CHOKIDARS	CHOKIDAR, in India, a gatekeeper [n]
CHOKRA	in India, a boy or young man [n]
CHOKRAS	CHOKRA, in India, a boy or young man [n]
CHOKRI	in India, a girl or young woman [n]
CHOKRIS	CHOKRI, in India, a girl or young woman [n]
CHOLA	long, loose Sikh robe [n]
CHOLAS	CHOLA, long, loose Sikh robe [n]
CHOLI	short-sleeved bodice, as worn by Indian women [n]
CHOLIS	CHOLI, short-sleeved bodice, as worn by Indian women [n]
CHOTA	(in Indian English) person of lower rank [n]
CHOTAS	CHOTA, (in Indian English) person of lower rank [n]
CHOWKIDAR	chokidar (in India, a gatekeeper)
CHUKAR	common Indian partridge [n]
CHUKARS	CHUKAR, common Indian partridge [n]
CHUKOR	chukar (common Indian partridge)
CHUPATTI	CHAPATI, (in Indian cookery) flat thin unleavened bread [n]
CHURIDAR	long tight-fitting trousers, worn by Indian men and women [n]
CHURIDARS	CHURIDAR, long tight-fitting trousers, worn by Indian men and women [n]
CIRCAR	in India, part of a province [n]
CIRCARS	CIRCAR, in India, part of a province [n]
COMANCHERO	in the 19th century, a person who traded with the Plains Indians [n]
COMANCHEROS	COMANCHERO, in the 19th century, a person who traded with the Plains Indians [n]
CORNSTARCH	starch made from Indian corn, esp a fine white flour used for puddings, etc [n]
CORNSTARCHES	CORNSTARCH, starch made from Indian corn, esp a fine white flour used for puddings, etc [n]
COSS	KOS, Indian unit of distance [n]
COSTUS	Himalayan herb with an aromatic root [n]
COSTUSES	COSTUS, Himalayan herb with an aromatic root [n]
COTWAL	Indian police officer [n]
COTWALS	COTWAL, Indian police officer [n]
CRORE	(in Indian English) ten million [n]
CROREPATI	(in India) person whose assets are at least 10 million rupees [n]
CROREPATIS	CROREPATI, (in India) person whose assets are at least 10 million rupees [n]
CRORES	CRORE, (in Indian English) ten million [n]
CURRIE	curry (Indian dish of meat or vegetables in a hot spicy sauce)
CURRIED	CURRY, Indian dish of meat or vegetables in a hot spicy sauce [n]
CURRIES	CURRY, Indian dish of meat or vegetables in a hot spicy sauce [n]
CURRY	Indian dish of meat or vegetables in a hot spicy sauce [n] / prepare (food) with curry powder [v]
CURRYING	CURRY, Indian dish of meat or vegetables in a hot spicy sauce [n]
CURRYINGS	CURRY, Indian dish of meat or vegetables in a hot spicy sauce [n]
CUTCHERIES	CUTCHERRY, (formerly, in India) government offices and law courts collectively [n]
CUTCHERRIES	CUTCHERRY, (formerly, in India) government offices and law courts collectively [n]
CUTCHERRY	(formerly, in India) government offices and law courts collectively [n]
CUTCHERY	cutcherry ((formerly, in India) government offices and law courts collectively)
DAAL	(in Indian cookery) split pulses [n]
DAALS	DAAL, (in Indian cookery) split pulses [n]
DABBA	in Indian cookery, a round metal box used to transport hot food [n]
DABBAS	DABBA, in Indian cookery, a round metal box used to transport hot food [n]
DACOIT	(in India and Myanmar) a member of a gang of armed robbers [n]
DACOITIES	DACOITY, (in India and Myanmar) robbery by an armed gang [n]
DACOITS	DACOIT, (in India and Myanmar) a member of a gang of armed robbers [n]
DACOITY	(in India and Myanmar) robbery by an armed gang [n]
DAKOIT	dacoit ((in India and Myanmar) a member of a gang of armed robbers)
DANSAK	type of Indian dish [n]
DANSAKS	DANSAK, type of Indian dish [n]
DARBAR	hall in a Sikh temple [n]
DARBARS	DARBAR, hall in a Sikh temple [n]
DAROGA	Indian English word for a manager or inspector [n]
DAROGAS	DAROGA, Indian English word for a manager or inspector [n]
DAROGHA	daroga (Indian English word for a manager or inspector)
DARSHAN	Hindu blessing [n]
DARSHANS	DARSHAN, Hindu blessing [n]
DARZI	tailor in India [n]
DARZIS	DARZI, tailor in India [n]
DEEWAN	chief of a village in India (archaic) [n]
DEEWANS	DEEWAN, chief of a village in India (archaic) (archaic) [n]
DEODAR	Himalayan cedar with drooping branches [n]
DEODARA	deodar (Himalayan cedar with drooping branches)
DEODARS	DEODAR, Himalayan cedar with drooping branches [n]
DESHI	desi ((in Indian English) indigenous or local)
DESI	(in Indian English) indigenous or local [adj] / (in Indian English) indigenous or local person [n]
DESIS	DESI, (in Indian English) indigenous or local [adj]
DEV	deva ((in Hinduism and Buddhism) divine being or god)
DEVA	(in Hinduism and Buddhism) divine being or god [n]
DEVANAGARI	the character in which Sanskrit is usually printed [n]
DEVANAGARIS	DEVANAGARI, the character in which Sanskrit is usually printed [n]
DEVAS	DEVA, (in Hinduism and Buddhism) divine being or god [n]
DEVI	Hindu goddess [n]
DEVIS	DEVI, Hindu goddess [n]
DEWAN	(formerly in India) the chief or finance minister of a state ruled by an Indian prince [n]
DEWANS	DEWAN, (formerly in India) the chief or finance minister of a state ruled by an Indian prince [n]
DHABA	roadside café in India [n]
DHABAS	DHABA, roadside café in India [n]
DHANSAK	any of a variety of Indian dishes [n]
DHANSAKS	DHANSAK, any of a variety of Indian dishes [n]
DHARMSALA	Indian hostel [n]
DHARMSALAS	DHARMSALA, Indian hostel [n]
DHARNA	(in India) a method of obtaining justice [n]
DHARNAS	DHARNA, (in India) a method of obtaining justice [n]
DHOBI	(in India, Malaya, East Africa, etc, esp formerly) a washerman [n]
DHOBIS	DHOBI, (in India, Malaya, East Africa, etc, esp formerly) a washerman [n]
DHOL	type of Indian drum [n]
DHOLS	DHOL, type of Indian drum [n]
DHOOTI	dhoti (long loincloth worn by men in India)
DHOOTIE	dhoti (long loincloth worn by men in India)
DHOTI	long loincloth worn by men in India [n]
DHOTIS	DHOTI, long loincloth worn by men in India [n]
DHURNA	dharna ((in India) a method of obtaining justice)
DHURRIE	durrie (cotton carpet made in India, often in rectangular pieces fringed at the ends)
DHUTI	dhoti (long loincloth worn by men in India)
DHYANA	type of Hindu meditation [n]
DHYANAS	DHYANA, type of Hindu meditation [n]
DIWAN	dewan ((formerly in India) the chief or finance minister of a state ruled by an Indian prince)
DOOB	type of Indian grass [n]
DOOBIE	doob (type of Indian grass)
DOOBS	DOOB, type of Indian grass [n]
DOPATTA	scarf worn in India [n]
DOPATTAS	DOPATTA, scarf worn in India [n]
DOPATTE	dopatta (scarf worn in India)
DOPIAZA	Indian meat or fish dish cooked in onion sauce [n]
DOPIAZAS	DOPIAZA, Indian meat or fish dish cooked in onion sauce [n]
DOSA	Indian pancake made from rice flour [n]
DOSAI	DOSA, Indian pancake made from rice flour [n]
DOSAS	DOSA, Indian pancake made from rice flour [n]
DOSHA	(in Hinduism) any of the three energies believed to be in the body [n]
DOSHAS	DOSHA, (in Hinduism) any of the three energies believed to be in the body [n]
DUPATTA	scarf worn in India [n]
DUPATTAS	DUPATTA, scarf worn in India [n]
DUPATTE	DUPATTA, scarf worn in India [n]
DURBAR	(formerly) the court of a native ruler or a governor in India [n]
DURBARS	DURBAR, (formerly) the court of a native ruler or a governor in India [n]
DURRIE	cotton carpet made in India, often in rectangular pieces fringed at the ends [n]
DURZI	Indian tailor [n]
DURZIS	DURZI, Indian tailor [n]
EMBLIC	type of Indian tree [n]
EMBLICS	EMBLIC, type of Indian tree [n]
FILMI	of or relating to Indian films [adj]
FILMIS	FILMI, of or relating to Indian films (not_standard) [adj]
GADDI	cushioned Indian throne [n]
GADDIS	GADDI, cushioned Indian throne [n]
GADI	cushioned Indian throne [n]
GADIS	GADI, cushioned Indian throne [n]
GARUDA	Hindu god [n]
GARUDAS	GARUDA, Hindu god [n]
GATH	(in Indian music) second section of a raga [n]
GATHS	GATH, (in Indian music) second section of a raga [n]
GHARRI	gharry ((in India) horse-drawn vehicle)
GHARRIES	GHARRY, (in India) horse-drawn vehicle [n]
GHARRY	(in India) horse-drawn vehicle [n]
GHAT	(in India) set of steps leading down to a river [n]
GHATS	GHAT, (in India) set of steps leading down to a river [n]
GHEE	(in Indian cookery) clarified butter [n]
GHEES	GHEE, (in Indian cookery) clarified butter [n]
GHERAO	form of industrial action in India [n] / trap an employer on the premises to indicate the workforce's discontent [v]
GHERAOED	GHERAO, form of industrial action in India [n]
GHERAOES	GHERAO, form of industrial action in India [n]
GHERAOING	GHERAO, form of industrial action in India [n]
GHERAOS	GHERAO, form of industrial action in India [n]
GHI	ghee ((in Indian cookery) clarified butter)
GOBI	(in Indian cookery) cauliflower [n]
GOBIS	GOBI, (in Indian cookery) cauliflower [n]
GODOWN	(in East Asia and India) a warehouse [n]
GODOWNS	GODOWN, (in East Asia and India) a warehouse [n]
GOONDA	(in India) habitual criminal [n]
GOONDAS	GOONDA, (in India) habitual criminal [n]
GOOROO	guru (Hindu or Sikh religious teacher or leader)
GOPURA	gateway tower of an Indian temple [n]
GOPURAM	gopura (gateway tower of an Indian temple)
GOPURAS	GOPURA, gateway tower of an Indian temple [n]
GORA	(in Indian English) White or fair-skinned male [n]
GORAS	GORA, (in Indian English) White or fair-skinned male [n]
GORI	(in Indian English) White or fair-skinned female [n]
GORIS	GORI, (in Indian English) White or fair-skinned female [n]
GOSHT	Indian meat dish [n]
GOSHTS	GOSHT, Indian meat dish [n]
GUAR	Indian plant [n]
GUARS	GUAR, Indian plant [n]
GURDWARA	Sikh place of worship [n]
GURDWARAS	GURDWARA, Sikh place of worship [n]
GURU	Hindu or Sikh religious teacher or leader [n]
GURUISM	GURU, Hindu or Sikh religious teacher or leader [n]
GURUISMS	GURU, Hindu or Sikh religious teacher or leader [n]
GURUS	GURU, Hindu or Sikh religious teacher or leader [n]
GURUSHIP	GURU, Hindu or Sikh religious teacher or leader [n]
GURUSHIPS	GURU, Hindu or Sikh religious teacher or leader [n]
GYAN	(in Indian English) knowledge [n]
GYANI	scholar in the Sikh religion [n]
GYANIS	GYANI, scholar in the Sikh religion [n]
GYANS	GYAN, (in Indian English) knowledge [n]
GYMNOSOPHIES	GYMNOSOPHIST, one of a sect of naked ascetics of ancient India [n]
GYMNOSOPHIST	one of a sect of naked ascetics of ancient India [n]
GYMNOSOPHISTS	GYMNOSOPHIST, one of a sect of naked ascetics of ancient India [n]
GYMNOSOPHY	GYMNOSOPHIST, one of a sect of naked ascetics of ancient India [n]
HALAVAH	halvah (E Mediterranean, Middle Eastern, or Indian sweetmeat)
HALVA	halvah (E Mediterranean, Middle Eastern, or Indian sweetmeat)
HALVAH	E Mediterranean, Middle Eastern, or Indian sweetmeat [n]
HALVAHS	HALVAH, E Mediterranean, Middle Eastern, or Indian sweetmeat [n]
HALWA	type of sweet Indian dish [n]
HALWAS	HALWA, type of sweet Indian dish [n]
HARAMDA	haramzada (in Indian English, slang word for a male whose parents are not married (not_family)) (not_family)
HARAMDI	haramzadi (in Indian English, slang word for a female whose parents are not married (not_family)) (not_family)
HARAMZADA	in Indian English, slang word for a male whose parents are not married (not_family) [n]
HARAMZADAS	HARAMZADA, in Indian English, slang word for a male whose parents are not married (not_family) (not_family) [n]
HARAMZADI	in Indian English, slang word for a female whose parents are not married (not_family) [n]
HARAMZADIS	HARAMZADI, in Indian English, slang word for a female whose parents are not married (not_family) (not_family) [n]
HARIANA	Indian breed of cattle [n]
HARIANAS	HARIANA, Indian breed of cattle [n]
HARIJAN	member of an Indian caste [n]
HARIJANS	HARIJAN, member of an Indian caste [n]
HARTAL	(in India) closing shops or suspending work [n]
HARTALS	HARTAL, (in India) closing shops or suspending work [n]
HAVILDAR	noncommissioned officer in the Indian army, equivalent in rank to sergeant [n]
HAVILDARS	HAVILDAR, noncommissioned officer in the Indian army, equivalent in rank to sergeant [n]
HOOLOCK	Indian gibbon [n]
HOOLOCKS	HOOLOCK, Indian gibbon [n]
HUMHUM	Indian cotton cloth [n]
HUMHUMS	HUMHUM, Indian cotton cloth [n]
HUZOOR	person of rank in India [n]
HUZOORS	HUZOOR, person of rank in India [n]
INDIAS	INDIA, code word for the letter I [n]
INQILAB	(in India, Pakistan, etc) revolution [n]
INQILABS	INQILAB, (in India, Pakistan, etc) revolution [n]
JAGHIR	Indian regional governance [n]
JAGHIRDAR	Indian regional governor [n]
JAGHIRDARS	JAGHIRDAR, Indian regional governor [n]
JAGHIRE	Indian regional governance [n]
JAGHIRES	JAGHIRE, Indian regional governance [n]
JAGHIRS	JAGHIR, Indian regional governance [n]
JAGIR	Indian regional governance [n]
JAGIRS	JAGIR, Indian regional governance [n]
JAGRA	Hindu festival [n]
JAGRAS	JAGRA, Hindu festival [n]
JALFREZI	(in Indian cookery) stir-fried with green peppers, onions, and green chillies [adj] / curry made with green peppers, onions, and green chillies [n]
JALFREZIS	JALFREZI, (in Indian cookery) stir-fried with green peppers, onions, and green chillies [adj]
JAMADAR	Indian army officer [n]
JAMADARS	JAMADAR, Indian army officer [n]
JAMPAN	type of sedan chair used in India [n]
JAMPANS	JAMPAN, type of sedan chair used in India [n]
JANATA	(in India) the general public [n]
JANATAS	JANATA, (in India) the general public [n]
JAROOL	Indian tree [n]
JAROOLS	JAROOL, Indian tree [n]
JARUL	JAROOL, Indian tree [n]
JAWAN	(in India) a soldier [n]
JAWANS	JAWAN, (in India) a soldier [n]
JEMADAR	native officer serving as a mercenary in India [n]
JEMADARS	JEMADAR, native officer serving as a mercenary in India [n]
JEMIDAR	jemadar (native officer serving as a mercenary in India)
JEQUERITY	jequirity (seed of the Indian liquorice)
JEQUIRITIES	JEQUIRITY, seed of the Indian liquorice [n]
JEQUIRITY	seed of the Indian liquorice [n]
JHALA	Indian musical style [n]
JHALAS	JHALA, Indian musical style [n]
JHATKA	slaughter of animals for food according to Sikh law [n]
JHATKAS	JHATKA, slaughter of animals for food according to Sikh law [n]
JOHNNYCAKE	a kind of bread made of the meal of maize (Indian corn), mixed with water or milk, etc, and baked [n]
JOHNNYCAKES	JOHNNYCAKE, a kind of bread made of the meal of maize (Indian corn), mixed with water or milk, etc, and baked [n]
JOR	movement in Indian music [n]
JORS	JOR, movement in Indian music [n]
JUGAAD	(in Indian English) problem-solving [n]
JUGAADS	JUGAAD, (in Indian English) problem-solving [n]
KAAMCHOR	Indian word for a shirker [n]
KAAMCHORS	KAAMCHOR, Indian word for a shirker [n]
KABIKI	fruit tree found in India [n]
KABIKIS	KABIKI, fruit tree found in India [n]
KACCHA	trousers worn traditionally by Sikhs [n]
KACCHAS	KACCHA, trousers worn traditionally by Sikhs [n]
KACHAHARI	kachahri (Indian courthouse)
KACHAHRI	Indian courthouse [n]
KACHAHRIS	KACHAHRI, Indian courthouse [n]
KACHERI	kachahri (Indian courthouse)
KALAMKARI	Indian cloth printing and printed Indian cloth [n]
KALAMKARIS	KALAMKARI, Indian cloth printing and printed Indian cloth [n]
KALPA	period in Hindu cosmology [n]
KALPAS	KALPA, period in Hindu cosmology [n]
KAMCHOR	Indian word for a shirker [n]
KAMCHORS	KAMCHOR, Indian word for a shirker [n]
KANDY	candie (South Indian unit of weight)
KANGHA	comb traditionally worn by Sikhs [n]
KANGHAS	KANGHA, comb traditionally worn by Sikhs [n]
KANJOOS	kanjus ((in Indian English) stingy)
KANJUS	(in Indian English) stingy [adj] / stingy person [n]
KANJUSES	KANJUS, (in Indian English) stingy [adj]
KANKAR	type of coarse limestone found in India [n]
